[04-06-24 12:39:02.633979] Statistic gathering started
TIME	EVENT	CALLCNT	FILLCNT	AVGSIZE	MAXSIZE	AVGFULL	MAXFULL	AVGDLL	MAXDLL	AVGTRIP	MAXTRIP	AVGTEAP	MAXTEAP	AVGTSMR	MAXTSMR	MINTSMR
[12:39:02.659102]	OTHER	420	48	2	4	9	0	7	9	4	8	10	6	120	2	7
[12:39:02.659199]	OTHER	553	81	6	3	9	3	8	5	5	4	6	5	174	7	3
[12:39:02.659339]	ORDER	390	52	8	3	6	1	5	9	5	3	7	3	129	3	4
[12:39:02.659421]	OTHER	512	12	9	5	6	8	2	5	7	6	6	6	107	10	9
[12:39:02.659480]	ORDER	380	82	1	6	8	6	8	10	0	2	6	2	108	10	8
[12:39:02.659541]	QUEUE	427	43	10	3	6	1	3	7	1	8	6	1	116	6	8
[12:39:02.659607]	QUEUE	557	51	7	9	3	8	6	0	8	5	2	4	126	10	0
[12:39:02.659683]	ORDER	392	43	5	9	3	7	6	2	7	8	9	10	112	2	9
[12:39:02.659744]	OTHER	428	45	7	1	3	8	5	4	4	8	1	7	125	5	3
[12:39:02.659826]	QUEUE	328	34	4	1	3	2	3	4	3	10	8	1	122	10	1
[12:39:02.659899]	QUEUE	416	5	4	4	8	3	1	7	7	2	10	7	103	3	6
[12:39:02.659954]	QUEUE	534	55	6	9	1	6	7	0	3	2	6	9	106	8	2
[12:39:02.660011]	ORDER	250	100	9	9	6	9	6	6	5	4	8	4	108	9	7
[12:39:02.660075]	QUEUE	501	72	10	1	6	4	0	0	9	1	6	0	110	8	1
[12:39:02.660135]	OTHER	342	57	7	9	4	5	5	7	9	8	9	4	135	5	3
[12:39:02.660217]	ORDER	516	97	6	10	10	3	1	3	4	0	0	0	108	3	10
[12:39:02.660278]	ORDER	546	49	10	4	7	0	3	1	5	0	8	6	105	3	0
[12:39:02.660334]	ORDER	503	8	7	4	0	10	10	2	9	4	2	1	169	8	0
[12:39:02.660437]	ORDER	578	66	8	8	7	4	2	10	4	9	7	1	104	2	10
[12:39:02.660493]	OTHER	562	45	2	6	4	0	9	0	2	2	10	1	101	3	0
[12:39:02.660548]	ORDER	583	40	2	5	9	3	5	8	6	2	2	2	182	0	6
[12:39:02.660653]	QUEUE	490	69	6	8	7	2	6	8	6	7	4	2	171	9	5
[12:39:02.660759]	QUEUE	335	12	5	3	5	0	2	8	9	6	10	4	201	1	6
[12:39:02.660898]	QUEUE	483	86	9	9	3	1	1	10	10	8	3	4	110	8	2
[12:39:02.660958]	QUEUE	345	68	9	0	5	8	2	2	6	4	1	9	120	6	3
[12:39:02.661027]	ORDER	308	47	2	10	5	9	0	0	8	4	3	3	117	4	6
[12:39:02.661097]	OTHER	471	100	5	1	3	10	9	3	7	3	3	4	106	2	10
[12:39:02.661156]	QUEUE	347	32	1	7	10	6	8	6	6	10	0	5	138	5	4
[12:39:02.661250]	ORDER	462	93	1	2	7	7	0	0	0	3	3	4	165	7	1
[12:39:02.661370]	OTHER	503	49	0	6	4	0	2	4	4	6	5	3	127	5	10
[12:39:02.661441]	QUEUE	411	36	4	5	10	6	9	2	2	9	10	7	124	4	4
[12:39:02.661514]	OTHER	500	35	9	7	0	10	10	8	0	0	10	1	131	8	6
[12:39:02.661588]	QUEUE	421	78	4	2	7	8	2	5	7	0	4	5	154	6	8
[12:39:02.661682]	OTHER	508	32	3	9	2	8	2	9	7	1	6	5	132	8	6
[12:39:02.661765]	ORDER	477	95	2	2	4	7	3	7	7	4	6	0	141	9	1
[12:39:02.661855]	OTHER	479	77	7	9	7	0	3	3	3	5	8	7	113	8	3
[12:39:02.661917]	OTHER	439	91	5	0	2	9	9	3	10	6	7	8	135	10	1
[12:39:02.661996]	ORDER	210	32	4	2	3	0	0	3	6	6	3	10	189	6	4
[12:39:02.662121]	ORDER	411	34	9	4	9	8	5	3	8	3	8	1	105	10	10
[12:39:02.662180]	OTHER	518	38	7	7	0	0	6	6	3	8	2	7	110	6	5
[12:39:02.662242]	QUEUE	389	96	10	10	3	8	4	6	3	0	6	3	201	1	8
[12:39:02.662386]	OTHER	565	13	7	3	0	3	3	0	9	4	7	2	110	1	5
[12:39:02.662444]	OTHER	494	75	3	8	1	5	0	1	10	2	0	2	154	8	10
[12:39:02.662541]	ORDER	552	79	2	2	10	5	2	0	5	6	1	2	102	1	5
[12:39:02.662595]	ORDER	406	89	1	3	7	2	8	1	1	1	7	7	106	9	9
[12:39:02.662652]	OTHER	410	70	6	8	4	5	7	10	5	6	4	7	154	5	8
[12:39:02.662740]	QUEUE	600	32	4	4	6	7	9	6	0	0	3	6	194	8	1
[12:39:02.662877]	ORDER	346	38	0	6	6	5	7	4	7	1	8	1	129	7	8
[12:39:02.662949]	QUEUE	501	87	8	7	0	6	1	5	3	6	1	1	133	8	4
[12:39:02.663031]	OTHER	339	67	9	6	8	7	9	7	10	2	10	5	136	7	4
[12:39:02.663131]	OTHER	557	13	3	10	4	7	8	3	7	3	6	4	173	0	9
[12:39:02.663247]	ORDER	297	30	1	8	4	1	0	3	3	7	9	1	152	2	10
[12:39:02.663346]	OTHER	555	80	3	5	0	2	0	10	6	6	4	9	151	3	5
[12:39:02.663444]	QUEUE	232	19	3	7	3	4	10	5	6	10	5	2	155	2	9
[12:39:02.663554]	ORDER	307	52	10	6	5	1	1	3	6	9	10	8	138	10	10
[12:39:02.663637]	ORDER	337	20	5	9	6	7	8	3	3	0	3	4	136	3	9
[12:39:02.663724]	ORDER	595	33	1	6	0	9	3	3	9	6	2	1	119	9	7
[12:39:02.663794]	ORDER	291	25	7	5	2	4	2	6	6	5	9	9	132	9	6
[12:39:02.663875]	OTHER	476	97	0	9	0	8	2	10	9	6	8	7	136	5	3
[12:39:02.663959]	OTHER	587	22	10	0	0	5	7	10	10	2	4	2	205	8	0
[12:39:02.664104]	OTHER	294	6	2	2	3	5	0	7	10	8	7	9	105	6	0
[12:39:02.664162]	OTHER	540	36	5	9	7	4	3	0	4	5	7	10	134	1	3
[12:39:02.664247]	OTHER	224	96	9	1	3	7	7	6	1	6	8	4	105	1	7
[12:39:02.664304]	ORDER	267	33	1	9	9	3	6	9	4	7	7	7	191	0	5
[12:39:02.664441]	ORDER	512	93	9	0	1	10	9	10	2	3	10	9	109	6	8
[12:39:02.664498]	OTHER	334	45	8	1	4	5	7	0	5	9	7	8	101	0	0
[12:39:02.664554]	OTHER	421	19	5	5	3	1	2	1	10	7	2	5	210	4	7
[12:39:02.664697]	QUEUE	349	94	4	6	8	9	2	4	0	5	10	4	131	5	6
[12:39:02.664772]	ORDER	487	8	1	2	7	2	5	6	0	7	10	0	104	5	3
[12:39:02.664827]	QUEUE	582	86	1	9	7	10	9	10	7	5	8	4	124	5	5
[12:39:02.664899]	ORDER	456	65	3	2	6	2	2	4	1	3	0	7	104	0	1
[12:39:02.664955]	QUEUE	209	19	8	6	6	7	8	8	2	9	7	1	104	3	0
[12:39:02.665014]	ORDER	325	54	3	9	7	3	6	0	5	2	6	7	137	0	4
[12:39:02.665094]	OTHER	500	65	0	9	6	6	3	6	6	5	2	8	107	7	10
[12:39:02.665152]	ORDER	503	51	4	2	7	6	6	3	10	7	1	6	110	6	2
[12:39:02.665209]	OTHER	403	80	5	4	1	5	5	4	4	7	10	1	120	0	0
[12:39:02.665280]	QUEUE	353	11	10	9	3	0	1	7	5	9	5	1	126	8	7
[12:39:02.665355]	QUEUE	247	63	6	8	4	2	5	3	5	7	1	5	102	8	2
[12:39:02.665410]	OTHER	447	55	0	6	1	9	3	2	0	7	7	10	162	5	9
[12:39:02.665514]	QUEUE	297	60	0	4	6	3	1	8	6	0	4	2	111	4	9
[12:39:02.665575]	OTHER	564	12	5	0	6	8	4	6	10	3	2	10	181	10	10
[12:39:02.665698]	QUEUE	544	58	8	4	6	1	0	7	1	1	7	3	107	8	8
[12:39:02.665760]	OTHER	592	90	1	3	7	0	4	2	6	8	8	5	165	8	2
[12:39:02.665866]	ORDER	552	68	5	0	2	9	9	10	0	6	5	10	111	6	4
[12:39:02.665929]	ORDER	598	98	2	8	6	6	4	9	4	5	3	5	146	8	8
[12:39:02.666015]	ORDER	477	18	6	3	7	1	9	7	6	0	5	7	108	1	0
[12:39:02.666076]	ORDER	530	84	7	1	2	6	4	5	5	2	4	5	130	7	9
[12:39:02.666156]	OTHER	366	15	9	3	4	3	9	8	8	8	6	3	112	8	9
[12:39:02.666221]	QUEUE	281	13	2	0	1	1	3	3	10	10	9	0	138	1	10
[12:39:02.666309]	QUEUE	566	79	7	7	8	2	0	8	4	4	2	9	139	5	10
[12:39:02.666398]	QUEUE	374	5	0	4	7	10	9	0	10	0	1	10	116	6	2
[12:39:02.666463]	ORDER	493	42	9	3	1	2	1	10	10	6	0	1	130	1	1
[12:39:02.666537]	ORDER	247	86	7	1	4	7	3	9	6	7	7	3	105	10	6
[12:39:02.666593]	OTHER	590	22	7	1	6	6	2	10	8	3	6	4	103	8	8
[12:39:02.666651]	OTHER	228	92	4	6	2	4	8	5	9	10	3	3	167	5	7
[12:39:02.666748]	ORDER	575	5	3	3	6	9	0	4	1	2	0	5	109	2	8
[12:39:02.666805]	QUEUE	317	5	8	3	4	8	0	4	8	9	1	6	150	0	9
[12:39:02.666898]	OTHER	338	7	8	0	5	9	0	7	9	7	0	8	128	9	8
[12:39:02.666971]	QUEUE	330	74	4	3	10	6	5	10	5	6	2	4	107	7	1
[12:39:02.667036]	QUEUE	500	93	8	3	6	1	1	3	2	10	5	10	105	0	0
[12:39:02.667090]	OTHER	418	11	9	3	10	3	10	6	1	4	8	4	107	6	8
[12:39:02.667177]	ORDER	458	23	8	9	8	3	8	1	6	2	8	9	112	2	1
[12:39:02.667248]	ORDER	520	61	9	9	3	2	5	3	9	7	2	8	108	2	4
[12:39:02.667314]	OTHER	583	59	0	0	8	5	6	5	9	0	9	4	154	7	9
[12:39:02.667411]	ORDER	489	63	7	2	3	4	10	1	9	2	8	2	132	8	7
[12:39:02.667491]	QUEUE	238	68	8	0	1	2	1	3	0	3	2	10	104	7	0
[12:39:02.667547]	OTHER	486	25	6	5	10	10	3	6	6	6	6	3	141	2	8
[12:39:02.667637]	QUEUE	340	27	9	5	9	6	8	10	5	2	5	0	124	4	2
[12:39:02.667711]	ORDER	539	69	2	4	10	6	1	1	1	9	3	10	107	9	7
[12:39:02.667771]	ORDER	551	83	9	10	8	9	8	8	5	5	3	7	102	0	3
[12:39:02.667825]	QUEUE	599	72	7	9	2	4	0	6	9	6	8	9	129	7	1
[12:39:02.667903]	OTHER	296	48	0	8	1	0	1	5	1	3	9	6	147	8	9
[12:39:02.668032]	QUEUE	483	68	2	2	8	3	3	2	7	4	3	7	127	6	6
[12:39:02.668109]	ORDER	332	39	8	4	7	5	10	2	6	6	10	9	169	8	9
[12:39:02.668220]	OTHER	257	93	0	3	9	7	6	10	10	1	6	0	122	3	8
[12:39:02.668288]	OTHER	596	68	1	8	4	1	7	6	10	0	8	7	143	9	2
[12:39:02.668369]	OTHER	260	5	6	2	9	3	7	4	7	10	3	4	106	1	9
[12:39:02.668429]	OTHER	596	64	5	4	0	8	4	8	6	6	2	1	110	0	2
[12:39:02.668492]	ORDER	352	25	7	3	7	2	3	4	2	3	8	2	115	4	3
[12:39:02.668557]	OTHER	578	83	4	6	6	9	10	7	0	6	5	1	119	2	8
[12:39:02.668629]	ORDER	309	30	2	5	2	0	1	2	4	7	2	3	137	3	1
[12:39:02.668711]	ORDER	381	9	1	1	3	0	4	5	4	9	8	2	112	9	7
[12:39:02.668774]	OTHER	348	70	10	9	7	10	6	2	3	4	3	7	113	6	7
[12:39:02.668836]	QUEUE	417	68	1	6	7	10	0	9	10	0	1	8	118	7	10
[12:39:02.668903]	QUEUE	209	92	10	0	10	1	1	8	4	1	1	1	145	2	9
[12:39:02.668990]	OTHER	271	27	8	6	9	4	6	9	6	3	4	4	105	0	5
[12:39:02.669045]	OTHER	575	22	4	2	8	10	8	8	1	3	1	1	111	5	8
[12:39:02.669110]	ORDER	587	91	10	5	6	10	8	5	3	7	5	10	169	1	5
[12:39:02.669217]	QUEUE	302	15	7	2	7	9	9	4	4	6	6	5	113	1	10
[12:39:02.669282]	QUEUE	463	79	6	7	9	2	2	5	9	5	3	6	103	6	1
[12:39:02.669336]	OTHER	553	88	7	1	4	8	9	8	8	7	1	5	103	9	2
[12:39:02.669394]	ORDER	225	13	9	0	10	2	5	9	8	6	7	1	116	4	9
[12:39:02.669466]	OTHER	541	91	2	10	10	10	1	0	2	7	7	3	163	8	10
[12:39:02.669569]	OTHER	205	84	10	1	2	6	7	7	1	10	3	6	103	7	1
[12:39:02.669624]	OTHER	400	34	8	10	1	7	6	6	7	1	2	0	141	2	1
[12:39:02.669725]	QUEUE	350	24	9	8	8	5	10	2	2	0	7	8	134	3	10
[12:39:02.669808]	OTHER	538	19	10	8	3	7	3	9	2	2	5	9	127	9	1
[12:39:02.669888]	QUEUE	487	52	2	5	4	3	10	9	3	6	7	4	109	2	4
[12:39:02.669947]	ORDER	540	67	0	8	2	8	4	1	3	10	10	7	180	8	5
[12:39:02.670065]	ORDER	467	16	4	0	9	1	1	3	6	10	4	8	124	4	7
[12:39:02.670135]	ORDER	350	14	1	9	1	1	3	5	4	4	4	7	127	3	0
[12:39:02.670203]	OTHER	324	64	9	0	5	3	6	3	1	0	4	7	101	6	8
[12:39:02.670258]	ORDER	452	35	5	4	9	8	9	8	5	3	0	2	108	10	2
[12:39:02.670315]	QUEUE	447	34	6	10	1	4	6	5	0	5	5	4	119	6	5
[12:39:02.670383]	QUEUE	477	17	0	3	4	6	2	9	6	7	6	2	121	4	8
[12:39:02.670458]	ORDER	224	16	6	2	5	4	4	0	5	3	2	10	106	9	2
[12:39:02.670515]	ORDER	293	99	10	0	8	9	4	7	3	9	2	6	150	5	10
[12:39:02.670620]	ORDER	575	82	0	7	4	7	9	9	9	10	6	3	109	7	9
[12:39:02.670678]	ORDER	283	49	0	4	1	4	8	0	10	10	4	1	114	0	2
[12:39:02.670738]	QUEUE	525	8	7	1	6	6	5	2	0	7	4	10	106	0	8
[12:39:02.670799]	ORDER	503	39	4	2	1	3	6	10	7	9	3	3	108	3	9
[12:39:02.670860]	QUEUE	267	90	1	10	0	7	9	5	6	8	4	3	124	1	3
[12:39:02.670931]	OTHER	533	71	4	6	0	0	8	2	6	7	4	9	124	10	4
[12:39:02.671001]	QUEUE	316	55	8	1	9	4	0	2	8	7	7	2	145	6	4
[12:39:02.671088]	OTHER	275	64	1	0	4	8	9	3	10	2	5	9	110	8	5
[12:39:02.671165]	OTHER	562	42	8	0	10	2	7	6	3	9	6	8	110	8	9
[12:39:02.671229]	OTHER	358	100	9	9	7	10	10	8	9	5	8	10	112	8	8
[12:39:02.671300]	OTHER	256	18	9	8	0	1	5	7	8	3	0	9	307	5	2
[12:39:02.671522]	QUEUE	350	33	2	9	2	6	10	3	8	7	10	1	126	8	0
[12:39:02.671596]	ORDER	586	86	1	1	0	2	1	2	2	5	9	3	107	3	6
[12:39:02.671656]	OTHER	494	50	0	4	0	10	5	2	4	9	9	6	136	2	0
[12:39:02.671736]	OTHER	401	74	9	10	5	2	8	3	3	7	9	0	143	3	5
[12:39:02.671830]	OTHER	304	62	0	3	10	5	10	2	5	7	0	5	107	7	8
[12:39:02.671887]	OTHER	413	22	7	3	3	10	3	1	2	9	1	4	146	5	10
[12:39:02.671983]	ORDER	327	49	1	5	7	4	7	0	2	1	9	2	110	2	2
[12:39:02.672041]	QUEUE	262	34	10	1	4	10	3	2	5	5	10	5	139	0	2
[12:39:02.672125]	QUEUE	526	25	6	2	3	10	5	8	8	10	8	6	192	9	1
[12:39:02.672253]	ORDER	551	100	0	1	8	4	6	6	9	6	1	8	141	7	3
[12:39:02.672339]	OTHER	271	35	8	1	5	7	4	7	9	10	5	0	120	7	0
[12:39:02.672410]	QUEUE	464	75	5	2	1	3	9	10	0	10	2	6	122	1	4
[12:39:02.672482]	ORDER	454	14	7	8	4	9	3	10	2	6	5	1	131	1	8
